"Оператор ЦФА","Дата сделки","Ключ","Объем выпуска","Срок до погашения","Наличие досрочного погашения","Доходность"
"ООО «Лайтхаус»","6/28/2022","9.5","5000000","59","1","11.64"
"ПАО «Сбербанк России»","9/21/2022","7.5","9660000","90","0","13.6"
"ООО «Лайтхаус»","10/20/2022","7.5","100000000","56","0","10.68928571"
"ООО «Лайтхаус»","10/21/2022","7.5","50000000","59","1","8.104237288"
"ПАО «Сбербанк России»","11/17/2022","7.5","1000000","43","0","4.244186047"
"ООО «Лайтхаус»","1/12/2022","7.5","58000000","29","1","4.188186207"
"ПАО «Сбербанк России»","12/15/2022","7.5","10000","5","0","730"
"ПАО «Сбербанк России»","1/27/2023","7.5","10000","19","0","192.1052632"
"ПАО «Сбербанк России»","2/21/2023","7.5","10000","7","0","521.4285714"
"ООО «Атомайз»","2/22/2023","7.5","1000000000","33","0","7.5"
"ПАО «Сбербанк России»","2/22/2023","7.5","1000000","7","0","36.5"
"ПАО «Сбербанк России»","2/22/2023","7.5","100000","8","0","22.8125"
"ПАО «Сбербанк России»","3/18/2023","7.5","2000","13","0","19.65384615"
"ПАО «Сбербанк России»","3/21/2023","7.5","10000","10","0","182.5"
"ПАО «Сбербанк России»","3/29/2023","7.5","50000","9","0","40.55555556"
"ПАО «Сбербанк России»","4/1/2023","7.5","200000","29","0","12.5862069"
"ПАО «Сбербанк России»","4/6/2023","7.5","10000","7","0","260.7142857"
"АО «АЛЬФА-БАНК»","4/13/2023","7.5","750000000","90","","-"
"ПАО «Сбербанк России»","4/24/2023","7.5","950000","251","0","0.02908366534"
"ПАО «Сбербанк России»","4/28/2023","7.5","1400000","278","0","0.02625899281"
"ООО «Атомайз»","5/4/2023","7.5","150000000","1834","1","7.5"
"ПАО «Сбербанк России»","5/4/2023","7.5","1000000","241","0","0.03029045643"
"ПАО «Сбербанк России»","5/5/2023","7.5","10000000","12","0","4.075833333"
"ПАО «Сбербанк России»","5/5/2023","7.5","100000","11","0","6.105454545"
"ООО «Лайтхаус»","5/12/2023","7.5","35000000","90","1","10.13888889"
"ПАО «Сбербанк России»","5/17/2023","7.5","1000","2","0","730"
"ПАО «Сбербанк России»","5/17/2023","7.5","1000","8","0","182.5"
"ООО «Атомайз»","5/24/2023","7.5","1000000","92","0","10"
"ПАО «Сбербанк России»","5/24/2023","7.5","1900000","252","0","0.02896825397"
"ПАО «Сбербанк России»","5/24/2023","7.5","1000","8","0","228.125"
"ООО «Атомайз»","5/26/2023","7.5","150000000","1832","0","7.5"
"ПАО «Сбербанк России»","5/30/2023","7.5","2360000","246","0","0.1483739837"
"ПАО «Сбербанк России»","5/31/2023","7.5","1000","2","0","730"
"ООО «Атомайз»","6/2/2023","7.5","150000000","1832","","8"
"ООО «Атомайз»","6/3/2023","7.5","1000000","6","0","8"
"ПАО «Сбербанк России»","6/13/2023","7.5","2000000","232","0","0.03146551724"
"ПАО «Сбербанк России»","6/13/2023","7.5","10000000","31","0","0.235483871"
"АО «АЛЬФА-БАНК»","6/14/2023","7.5","1125866","365","1","7.5"
"ПАО «Сбербанк России»","6/14/2023","7.5","5000","9","0","405.5555556"
"ПАО «Сбербанк России»","6/14/2023","7.5","5000","9","0","405.5555556"
"ООО «Системы
распределенного реестра»","6/15/2023","7.5","15000000000","181","0","8.45"
"ООО «Атомайз»","6/16/2023","7.5","8000000","106","0","8"
"ООО «Атомайз»","6/17/2023","7.5","150000000","1832","0","7.5"
"ООО «Атомайз»","6/17/2023","7.5","150000000","1832","0","7.5"
"ООО «Атомайз»","6/21/2023","7.5","150000000","1832","0","7.5"
"ПАО «Сбербанк России»","6/21/2023","7.5","50000","9","0","40.55555556"
"ООО «Атомайз»","6/23/2023","7.5","150000000","1832","0","8"
"ПАО «Сбербанк России»","6/25/2023","7.5","5000","4","0","365"
"ООО «Атомайз»","6/28/2023","7.5","150000000","1832","0","7.5"
"ООО «Лайтхаус»","6/29/2023","7.5","500,000,000","32","0","7.7"
"ООО «Атомайз»","7/1/2023","7.5","150000000","1832","0","7.5"
"ПАО «Сбербанк России»","7/3/2023","7.5","1400000","241","0","0.03029045643"
"ООО «Атомайз»","7/5/2023","7.5","150000000","1832","0","7.5"
"ПАО «Сбербанк России»","7/7/2023","7.5","4100000","269","0","0.02442379182"
"ПАО «Сбербанк России»","7/10/2023","7.5","1000","1","0","365"
"ПАО «Сбербанк России»","7/10/2023","7.5","1000","2","0","547.5"
"ПАО «Сбербанк России»","7/10/2023","7.5","1000","2","0","730"
"ПАО «Сбербанк России»","7/10/2023","7.5","1000","1","0","730"
"ПАО «Сбербанк России»","7/12/2023","7.5","500000","750","0","0.4866666667"
"ПАО «Сбербанк России»","7/17/2023","7.5","3150000","411","0","8.880778589"
"ПАО «Сбербанк России»","7/17/2023","7.5","150000000","213","0","8.568075117"
"АО «АЛЬФА-БАНК»","7/18/2023","7.5","300000000","365","0","14"
"ООО «Атомайз»","7/18/2023","7.5","150000000","1830","0","7.5"
"АО «АЛЬФА-БАНК»","7/19/2023","7.5","150000000","365","0","12"
"ООО «Атомайз»","7/20/2023","7.5","150000000","1832","0","7.5"
"ПАО «Сбербанк России»","7/21/2023","7.5","1000","0","0","0"
"ПАО «Сбербанк России»","7/24/2023","8.5","10000","7","0","0"
"ПАО «Сбербанк России»","7/24/2023","8.5","5000","7","0","0"
"ООО «Атомайз»","7/25/2023","8.5","2430423.84","890","1","8.5"
"ПАО «Сбербанк России»","7/25/2023","8.5","15000000","737","0","8.5"
"ООО «Атомайз»","7/26/2023","8.5","15000000","1832","0","8.5"
"ООО «Атомайз»","7/28/2023","8.5","15000000","1832","0","8.5"
"ПАО «Сбербанк России»","7/29/2023","8.5","10000","180","0","0"
"ПАО «Сбербанк России»","7/29/2023","8.5","10000","180","0","0"
"ПАО «Сбербанк России»","8/1/2023","8.5","3000000","24","0","7.604166667"
"АО «АЛЬФА-БАНК»","8/2/2023","8.5","219463980","652","0","8.25"
"ООО «Атомайз»","8/5/2023","8.5","","6","0","8.5"
"ООО «Атомайз»","8/3/2023","8.5","50643000","391","0","9.335038363"
"ПАО «Сбербанк России»","8/11/2023","8.5","3000","8","0","45.625"
"ПАО «Сбербанк России»","8/15/2023","12","10000","29","0","12.5862069"
"ООО «Атомайз»","8/17/2023","12","150000000","1831","0","8"
"ООО «Атомайз»","8/17/2023","12","150000000","1831","0","8"
"АО «АЛЬФА-БАНК»","8/18/2023","12","1000000000","185","0","10.25"
"АО «АЛЬФА-БАНК»","8/18/2023","12","300000000","33","0","8"
